Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,,,,,,,,,,14.41,2911.14
Days Inventory,,,,,,,,,,1525.7,834.29
Payables Period,,,,,,,,,,4932.98,12192.74
Cash Conversion Cycle,,,,,,,,,,-3392.87,-8447.31
Receivables Turnover,,,,,,,,,,25.33,0.13
Inventory Turnover,,,,,,,,,,0.24,0.44
Fixed Assets Turnover,,,,,,,,,,16.89,10.56
Asset Turnover,,,,,,,,,,0.01,
