Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,58.32,38.77,12.57,10.67,10.03,14.84,20.37,20.82,19.64,17.43,22.29
Days Inventory,,,,,,,,,,,
Payables Period,580.38,62.29,13.37,,,,,,,,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,6.26,9.42,29.04,34.2,36.38,24.6,17.92,17.53,18.59,20.95,16.37
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,0.19,0.14,0.13,0.14,0.14,0.14,0.14,0.13,0.12,0.15,0.15
Asset Turnover,0.13,0.1,0.09,0.1,0.1,0.1,0.1,0.09,0.09,0.1,0.1
