Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,43.82,26.74,,,,239.29,,,
Net Margin %,,,2.78,7.45,-23.98,5.69,2.79,-1.73,2.13,-9.09,-7.98
Asset Turnover (Average),,,,0.53,0.58,0.62,0.53,0.55,0.54,0.54,0.55
Return on Assets %,,,,3.99,-13.79,3.52,1.49,-0.94,1.16,-4.93,-4.39
Financial Leverage (Average),,,,1.37,1.47,1.25,1.25,1.26,1.34,1.35,1.34
Return on Equity %,,,,5.46,-19.44,4.71,1.85,-1.18,1.51,-6.62,-5.85
Return on Invested Capital %,,,,5.46,-19.44,4.71,1.85,-1.18,1.46,-6.38,-5.64
Interest Coverage,,,,,,,,,,,
