Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-0.48,13.43,-5.89,7.76,3.4,6.91,4.48,-18.79,-5.3,-5.75,12.29
3-Year Average,-5.02,1.0,2.04,4.78,1.59,6.0,4.92,-3.2,-7.03,-10.17,
5-Year Average,-2.6,-0.28,-1.77,0.88,3.43,4.92,3.21,0.21,-2.34,-4.13,
10-Year Average,0.86,2.42,-0.5,-1.12,-0.13,1.09,1.45,-0.78,-0.74,-0.42,
