Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,-344.1,-344.85
Asset Turnover (Average),,,,,,,0.01,0.01,0.01,0.07,0.07
Return on Assets %,,,,,-154.53,-167.9,-30.87,-22.67,-25.2,-23.2,-24.45
Financial Leverage (Average),,,,,,1.19,1.26,1.18,1.26,1.23,1.4
Return on Equity %,,,,,,-250.66,-37.9,-27.51,-30.8,-28.93,-31.74
Return on Invested Capital %,,,,,,-172.67,-33.04,-23.82,-25.08,-22.13,-23.94
Interest Coverage,,,,,-11.15,-55.11,-15.84,-15.3,-19.53,-16.19,-16.89
