Key Cash Flow Ratios,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,0.14,0.18,0.31,0.07,0.13,0.36,0.19,0.09,,
Free Cash Flow/Sales %,,25.68,16.05,15.31,24.2,17.55,8.28,13.49,13.88,5.84,4.36
Free Cash Flow/Net Income,,6.59,2.92,4.07,17.01,3.71,-2.05,12.81,-0.83,-0.3,-0.25
