Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-4.16,1.47,-0.35,23.07,-16.31,-59.39,,,,-29.77,90.32
3-Year Average,11.99,3.48,-1.04,7.56,0.87,-25.22,,,-38.31,,
5-Year Average,34.15,14.92,7.27,6.33,-0.04,-15.81,,,-39.69,-41.77,
10-Year Average,,,,,21.79,6.27,,,-19.92,-23.7,
