Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,19.45,,22.27,33.05,30.19,33.36,29.15,30.03
Net Margin %,,,-1.39,1.77,-1.07,3.31,5.53,3.94,6.88,8.29,8.62
Asset Turnover (Average),,,0.72,0.77,0.84,0.96,1.03,0.98,1.03,1.0,0.99
Return on Assets %,,,-1.0,1.35,-0.9,3.16,5.71,3.84,7.05,8.26,8.49
Financial Leverage (Average),,,,,1.72,1.63,1.57,1.79,1.99,2.17,2.1
Return on Equity %,,,,,-3.45,5.27,9.13,6.44,13.37,17.17,18.28
Return on Invested Capital %,,,,,-1.18,4.79,8.21,5.57,10.26,12.08,12.12
Interest Coverage,,,0.59,1.62,-0.65,18.7,48.9,38.68,15.42,12.86,14.42
