Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,551.0,,,,,149.0,,45.0,,,
Free Cash Flow Growth % YOY,825.0,,,,,,,817.0,,,
Cap Ex as a % of Sales,3.8,4.05,7.24,7.01,6.37,7.13,7.68,8.0,9.85,7.15,5.84
Free Cash Flow/Sales %,9.05,8.46,1.91,5.62,5.01,4.56,2.57,2.95,1.43,2.62,6.02
Free Cash Flow/Net Income,0.9,0.89,0.31,0.71,0.59,0.49,0.35,0.37,0.24,0.75,1.17
