Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,0.19,1.29,0.46,0.28,0.28,0.22,0.18,0.23,0.38,0.17,0.19
Free Cash Flow/Sales %,-3.16,16.29,-15.55,2.29,6.85,-2.29,-3.75,8.67,2.04,6.07,0.25
Free Cash Flow/Net Income,-0.56,-1.13,-35.38,0.64,2.46,-0.66,-1.84,5.25,-1.79,7.39,0.08
