Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-12.57,6.17,-36.54,26.3,-24.82,-9.2,-11.74,47.56,25.55,-7.52
3-Year Average,3.89,-21.08,,-16.17,-5.24,-15.54,-4.82,-15.54,5.75,17.81,
5-Year Average,,,0.8,-19.83,,-10.97,-10.29,-13.55,2.34,2.22,
10-Year Average,,,,,,,,-6.65,-9.42,,
