Key Financials PKR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue PKR Mil,,61580.0,59962.0,78252.0,96222.0,102797.0,121339.0,105941.0,80809.0,117429.0,130818.0
Gross Margin %,,84.6,81.2,83.4,80.9,82.9,82.7,80.9,55.4,55.0,56.7
Operating Income PKR Mil,,41908.0,34528.0,48365.0,64598.0,62735.0,73361.0,70789.0,33231.0,56935.0,68242.0
Operating Margin %,,68.1,57.6,61.8,67.1,61.0,60.5,66.8,41.1,48.5,52.2
Net Income PKR Mil,,27703.0,23321.0,31446.0,40969.0,42115.0,50858.0,38207.0,16065.0,34699.0,42433.0
Earnings Per Share PKR,,16.86,11.83,15.95,20.77,21.36,25.79,19.38,8.15,17.6,21.52
Dividends PKR,,6.06,4.24,9.09,4.67,9.58,10.5,12.0,6.25,6.5,6.5
Payout Ratio % *,,35.9,29.9,57.0,57.0,22.4,45.3,53.6,59.0,37.6,30.2
Shares Mil,,1643.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0
Book Value Per Share * PKR,,,48.62,47.88,47.88,64.1,85.12,95.87,99.0,100.4,115.78
Operating Cash Flow PKR Mil,,,,,,,,,,,
Cap Spending PKR Mil,,-14805.0,-7863.0,-8737.0,-8149.0,-21633.0,-23500.0,-25021.0,-43016.0,-34883.0,-35510.0
Free Cash Flow PKR Mil,,-1512.0,18597.0,21393.0,22191.0,44864.0,10526.0,8753.0,9503.0,7486.0,11175.0
Free Cash Flow Per Share * PKR,,-0.92,11.32,10.85,10.85,11.25,14.02,11.4,2.99,2.58,
Working Capital PKR Mil,,30791.0,43434.0,41940.0,71986.0,50521.0,69818.0,83935.0,67919.0,108151.0,
