Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-23.62,-27.77,42.6,29.11,10.39,2.19,10.92,-10.13,18.47,
Free Cash Flow Growth % YOY,,-25.08,-31.88,51.67,27.14,12.76,-0.22,3.84,-8.9,27.46,
Cap Ex as a % of Sales,3.9,3.12,3.09,3.05,3.92,3.27,3.52,5.2,4.04,2.93,2.75
Free Cash Flow/Sales %,31.85,21.64,14.49,21.65,24.75,24.41,21.79,21.58,18.04,21.28,19.69
Free Cash Flow/Net Income,2.96,1.52,1.18,1.26,1.72,2.35,1.73,1.71,1.79,1.93,1.59
