Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-17.06,-15.5,-88.85,303.23,128.8,9.09,5.77,15.76,18.06,-67.18,16.33
3-Year Average,12.78,-1.57,-57.25,-27.57,0.95,115.91,38.21,10.13,13.07,-23.46,
5-Year Average,28.25,15.91,-32.98,-15.58,-6.33,-1.06,3.49,65.25,29.26,-12.34,
10-Year Average,14.21,10.26,-14.38,1.0,20.41,12.65,9.52,5.23,4.46,-9.39,
