Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,19.23,,,71.43,,,-91.96,,,
3-Year Average,,,,-35.43,-27.12,,151.98,-9.14,,,
5-Year Average,,,,,14.87,,29.29,,,,
10-Year Average,,0.33,,-12.3,,,,,,,
