Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,39.2,102.26,61.51,52.51,72.63,33.09,28.88,26.63,6.45,26.51,
Free Cash Flow Growth % YOY,41.15,112.21,66.39,52.6,71.59,33.64,28.11,25.53,5.23,24.86,
Cap Ex as a % of Sales,1.13,0.97,0.65,0.73,1.08,1.05,1.24,1.56,1.89,2.5,2.25
Free Cash Flow/Sales %,9.94,15.77,21.15,24.46,29.73,32.9,32.63,32.96,31.75,34.03,34.76
Free Cash Flow/Net Income,0.9,1.63,1.01,1.43,1.23,1.22,1.17,1.15,1.15,1.71,1.19
