Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,14.16,-23.63,33.12,13.78,7.99,7.04,13.09,13.45,7.83,5.49,-9.79
3-Year Average,8.72,-4.13,5.09,4.97,17.82,9.57,9.34,11.15,11.43,8.87,
5-Year Average,14.33,3.7,5.49,5.94,7.36,5.98,14.64,11.03,9.85,9.33,
10-Year Average,10.91,8.05,9.65,10.75,11.03,10.08,9.03,8.23,7.88,8.34,
