Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,374.0,406.0,,,,,320.0,137.0,183.0,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,24.57,33.21,34.47,33.75,30.09,30.71,24.28,23.92,30.24,34.74,36.37
Free Cash Flow/Sales %,0.65,-8.01,-7.27,-2.14,-4.82,-1.43,3.76,5.34,-0.4,-4.85,-9.82
Free Cash Flow/Net Income,0.06,-0.78,-0.86,-0.23,-0.41,-0.15,0.32,0.64,-0.03,-0.51,-1.08
