Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,100.0,,,,,
SG&A,73.92,59.09,61.57,65.12,66.79,44.18,47.95,52.42,53.07,78.18,57.63
R&D,,,,,,,,,,,
Other,-73.92,-59.09,-61.57,-65.12,-66.79,41.73,45.27,41.7,45.5,37.98,35.99
Operating Margin,,,,,,27.91,,,30.61,18.83,48.92
Net Int Inc & Other,-5.25,34.14,35.5,31.04,26.64,,31.66,35.53,,,
EBT Margin,-5.25,34.14,35.5,31.04,26.64,27.91,31.66,35.53,30.61,18.83,48.92
