Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,838.48,,,,,,,
Free Cash Flow/Sales %,,,,,,,-959.26,,,,
Free Cash Flow/Net Income,-0.65,-2.97,7.38,-0.4,0.69,0.55,0.13,0.81,0.57,1.08,1.08
