Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-30.26,23.58,34.35,-11.36,72.65,12.13,13.47,5.45,24.72,5.62,-4.55
3-Year Average,4.96,-0.59,5.01,13.75,27.16,19.72,29.99,10.29,14.27,11.58,
5-Year Average,3.02,4.2,13.94,3.19,12.12,23.29,21.2,15.47,23.64,12.06,
10-Year Average,12.1,12.64,15.83,12.01,17.58,12.7,12.38,14.7,12.95,12.09,
