Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,-28.32,,,151.21,-43.36,44.27,-0.4,9.55,71.9,50.29,
Free Cash Flow Growth % YOY,-32.75,,,139.12,-48.01,42.73,2.22,2.75,100.08,59.31,
Cap Ex as a % of Sales,3.1,3.97,1.67,3.94,4.02,4.47,3.16,3.77,2.98,1.96,1.98
Free Cash Flow/Sales %,20.75,-10.97,14.77,23.27,14.7,15.54,12.41,11.17,19.96,23.36,25.27
Free Cash Flow/Net Income,1.17,0.41,0.91,1.04,2.32,4.91,0.9,0.9,1.29,1.1,1.11
