Key Financials CAD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue CAD Mil,,,,,,0.0,0.0,0.0,8.0,5.0,2.0
Gross Margin %,,,,,,,,,59.4,68.1,13.6
Operating Income CAD Mil,,,,,,-0.0,0.0,0.0,1.0,0.0,-2.0
Operating Margin %,,,,,,-43.2,96.2,65.0,18.5,1.5,-87.1
Net Income CAD Mil,,,,,,-0.0,-1.0,-0.0,1.0,-8.0,-6.0
Earnings Per Share CAD,,,,,,-0.01,-0.08,-0.01,0.14,-0.52,-0.4
Dividends CAD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,13.0,16.0,16.0,7.0,15.0,15.0
Book Value Per Share * CAD,,,,,,,,,,,0.09
Operating Cash Flow CAD Mil,,,,,,-0.0,-0.0,-0.0,-0.0,-2.0,-0.0
Cap Spending CAD Mil,,,,,,,,,,-0.0,
Free Cash Flow CAD Mil,,,,,,-0.0,-0.0,-0.0,-0.0,-2.0,-0.0
Free Cash Flow Per Share * CAD,,,,,,,,,,,
Working Capital CAD Mil,,,,,,0.0,-1.0,-1.0,0.0,3.0,
