Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,,373.37,47.25,-68.08,,,
3-Year Average,,,,,,,,30.55,,-70.58,
5-Year Average,,,,,-5.87,,,,,-29.23,
10-Year Average,,,,,-20.81,-20.31,14.84,,,-18.97,
