Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,222.58,,,,,,,
3-Year Average,,,,,,174.19,,,-55.71,,
5-Year Average,,,,,,,,,-16.53,,
10-Year Average,,,3.53,19.76,,,,,,,
