Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,3.07,15.89,4.17,5.38,6.72,5.26,3.49,4.02,4.63,5.73,4.98
Free Cash Flow/Sales %,-140.41,,-46.77,20.83,142.58,-58.94,81.88,-71.17,58.69,126.02,131.64
Free Cash Flow/Net Income,-7.11,-15.62,-2.32,1.28,18.9,-10.32,9.1,-9.96,-4.74,-9.45,-18.64
