Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-8.34,-67.47,375.69,35.22,8.64,4.95,13.42,21.27,4.36,0.57,
3-Year Average,17.25,-26.32,12.35,27.9,91.19,15.53,8.95,13.02,12.81,8.37,
5-Year Average,13.94,-12.65,20.06,20.8,15.81,19.0,52.76,16.23,10.36,8.67,
10-Year Average,,,73.83,23.66,16.38,16.44,15.51,18.13,15.46,12.18,
