Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,62.88,58.86,54.78,54.52,52.95,50.05,49.44,49.02,47.38,50.41,49.61
Gross Margin,37.12,41.14,45.22,45.48,47.05,49.95,50.56,50.98,52.62,49.59,50.39
SG&A,34.93,30.29,24.81,27.7,27.08,28.14,28.87,30.04,30.28,31.38,31.1
R&D,,,,,,,,,,,
Other,-0.22,0.45,-0.1,1.59,0.43,0.99,0.28,0.1,1.53,1.08,0.76
Operating Margin,2.41,10.4,20.52,16.18,19.54,20.82,21.41,20.84,20.81,17.13,18.52
Net Int Inc & Other,-3.54,-7.52,-8.16,-12.11,-11.25,-10.82,-16.2,-17.37,-13.07,-12.7,-11.81
EBT Margin,-1.12,2.88,12.35,4.08,8.29,9.99,5.22,3.47,7.74,4.43,6.71
