Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,8.47,-0.14,1.92,1.75,8.69,-3.55,-2.76,-5.6,-5.56,0.27,1.57
3-Year Average,6.61,4.01,3.35,1.17,4.07,2.17,0.64,-3.98,-4.65,-3.67,
5-Year Average,6.54,5.45,4.28,3.13,4.07,1.66,1.12,-0.42,-1.89,-3.46,
10-Year Average,-0.98,-2.05,-3.32,0.54,4.97,4.07,3.26,1.9,0.59,0.23,
