Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.45,25.62,18.15,18.32,12.93,14.16,16.19,4.84,-18.2,-22.73,
3-Year Average,14.83,30.34,18.62,20.65,16.44,15.11,14.42,11.62,-0.12,-12.81,
5-Year Average,20.96,17.72,17.58,25.36,17.4,17.75,15.93,13.19,5.14,-2.55,
10-Year Average,55.85,38.56,28.78,30.5,31.92,19.34,16.82,15.37,14.8,6.96,
