Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,85.22,86.41,84.45,84.08,87.72,87.6,87.97,87.13,85.29,84.41,84.75
Gross Margin,14.78,13.59,15.55,15.92,12.28,12.4,12.03,12.87,14.71,15.59,15.25
SG&A,11.18,9.59,11.46,11.71,10.11,10.2,9.91,10.95,12.44,13.69,13.41
R&D,,,,,,,,,,,
Other,1.78,1.62,1.54,1.74,0.12,0.07,0.13,-0.01,0.18,0.02,1.06
Operating Margin,1.83,2.38,2.55,2.49,2.05,2.14,1.99,2.03,2.22,2.0,0.89
Net Int Inc & Other,0.12,-0.2,-0.17,-0.08,-0.07,-0.08,-0.05,0.02,-0.01,-0.02,-0.02
EBT Margin,1.95,2.18,2.38,2.41,1.98,2.07,1.94,2.05,2.21,1.98,0.88
