Key Revenue %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,117.86,1.11,0.6,26.97,26.9,7.09,-19.75,12.31,-5.95,5.09,
3-Year Average,,,30.37,8.9,17.47,19.94,2.93,-1.17,-5.36,3.54,
5-Year Average,,,,,28.99,11.91,6.86,9.23,2.87,-0.94,
10-Year Average,,,,,,,,,,13.04,
