Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-37.98,55.95,-7.67,-12.98,61.76,-13.25,26.52,-20.79,-10.76,16.12,6.56
3-Year Average,-20.13,-0.44,-3.7,7.81,9.13,6.89,21.09,-4.56,-3.65,-6.37,
5-Year Average,-8.38,20.11,-6.01,-4.53,4.68,11.95,7.36,4.12,4.65,-2.07,
10-Year Average,8.43,12.52,9.06,0.84,4.16,1.27,13.56,-1.07,-0.05,1.25,
