Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,-86.0,,,,765.0,-124.0,420.0,,,
Free Cash Flow Growth % YOY,,348.0,,,,,-301.0,444.0,,599.0,
Cap Ex as a % of Sales,1.38,1.26,1.6,1.62,1.85,1.15,1.12,1.12,1.05,1.24,1.21
Free Cash Flow/Sales %,2.88,3.03,0.78,1.16,1.46,2.25,2.08,2.08,2.79,2.69,2.36
Free Cash Flow/Net Income,0.98,1.06,0.25,0.4,0.55,1.01,1.04,1.47,1.48,1.3,1.12
