Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,31.98,32.67,32.67,31.26,30.05,28.86,29.08,29.49,29.04,29.18,29.11
Gross Margin,68.02,67.33,67.33,68.74,69.95,71.14,70.92,70.51,70.96,70.82,70.89
SG&A,27.94,28.67,31.11,31.01,31.65,32.25,31.91,32.05,32.12,31.48,31.24
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,40.08,38.66,36.23,37.73,38.29,38.9,39.01,38.46,38.84,39.34,39.64
Net Int Inc & Other,1.28,0.33,0.22,0.28,0.29,0.28,0.21,0.23,0.15,0.17,0.18
EBT Margin,41.37,38.99,36.45,38.01,38.58,39.18,39.23,38.69,39.0,39.5,39.82
