Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,95.56,4.55,8.7,-5.0,-2.11,26.88,-15.25,
3-Year Average,,,,,,30.5,2.58,0.36,5.67,1.72,
5-Year Average,,,,,,,,15.63,6.04,1.68,
10-Year Average,,,,,,,,,,,
