Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,21.98,12.15,2.31,6.51,11.22,-2.51,1.09,9.63,14.68,-2.42,-7.95
3-Year Average,31.77,20.54,11.86,6.91,6.62,4.91,3.1,2.61,8.32,7.05,
5-Year Average,26.62,25.5,21.29,13.8,10.64,5.79,3.62,5.06,6.62,3.87,
10-Year Average,31.89,23.65,21.44,18.2,17.83,15.74,14.03,12.88,10.15,7.2,
