Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,100.89,-33.46,-12.74,3.95,,1.11,11.19,1.49,11.34,15.23,
3-Year Average,21.16,-2.88,5.27,-15.49,-0.81,3.91,,4.49,7.9,9.2,
5-Year Average,17.17,3.76,0.65,-3.64,5.25,-7.85,1.78,4.8,,7.92,
10-Year Average,27.05,20.7,15.38,5.99,4.69,3.71,2.75,2.74,1.24,6.55,
