Key Revenue %,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Year over Year,,10.64,-7.43,-15.55,,144.64,-9.94,-40.17,-56.01,-55.46,
3-Year Average,,46.02,18.42,-4.72,21.73,51.1,,9.65,-38.11,-51.06,
5-Year Average,,,42.15,19.47,25.36,33.55,29.39,21.0,,-23.72,
10-Year Average,,,,,,,,29.76,13.69,1.01,
