Key Cash Flow Ratios,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Operating Cash Flow Growth % YOY,,,,,,,,,,-285.0,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,,7.67,1.52,1.52
Free Cash Flow/Sales %,,,,,,,,,5.06,5.94,5.94
Free Cash Flow/Net Income,,,,,,,,,0.61,0.74,0.74
