Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,130.65,81.68,45.67,49.57,55.84,75.51,82.2,80.97,69.68,62.99,61.66
Days Inventory,,,,,,,,,,,
Payables Period,,916.13,,21.83,53.73,33.37,,,,,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,2.79,4.47,7.99,7.36,6.54,4.83,4.44,4.51,5.24,5.79,5.92
Inventory Turnover,,,,,,,,,,,
Fixed Assets Turnover,0.12,0.12,0.12,0.12,0.13,0.13,0.13,0.13,0.13,0.12,0.12
Asset Turnover,0.08,0.08,0.09,0.09,0.09,0.1,0.1,0.1,0.11,0.1,0.1
