Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,9.7,-11.06,-5.0,26.85,-40.53,-47.9,-51.45,330.58,,,-100.12
3-Year Average,29.59,2.28,-2.5,2.34,-10.51,-26.75,-46.82,2.88,,,
5-Year Average,42.18,2.04,12.96,5.22,-6.9,-19.78,-28.93,-3.85,,,
10-Year Average,,13.4,21.67,,,6.79,-14.84,4.21,,,
