Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,66.12,20.48,-43.69,80.5,6.16,-1.19,2.94,4.73,-3.17,0.28,1.9
3-Year Average,21.38,25.75,4.06,6.98,2.57,23.71,2.59,2.13,1.44,0.56,
5-Year Average,18.7,19.45,3.94,15.11,16.65,5.14,1.88,15.34,1.83,0.68,
10-Year Average,11.0,13.25,4.0,10.79,10.93,11.71,10.31,9.49,8.27,8.37,
