Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,,,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,87.13,85.46,167.91,76.32,76.32
Gross Margin,,,,,,,12.87,14.54,-67.91,23.68,23.68
SG&A,,,,,,,29.37,25.4,160.6,583.27,583.27
R&D,,,,,,,,,,,
Other,,,,,,,4.5,6.3,-353.17,-57.4,-57.4
Operating Margin,,,,,,,-21.01,-17.17,124.66,-502.19,-502.19
Net Int Inc & Other,,,,,,,-4.8,-1.1,-12.35,-38.87,-38.87
EBT Margin,,,,,,,-25.81,-18.26,112.31,-541.06,-541.06
