Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,92.67,92.34,91.28,88.05,88.03,88.57,94.19,98.2,97.74,95.9,95.04
Gross Margin,7.33,7.66,8.72,11.95,11.97,11.43,5.81,1.8,2.26,4.1,4.96
SG&A,,,0.03,0.1,,,,,,,
R&D,0.05,0.05,0.04,0.04,,,,,,,
Other,6.29,5.46,5.17,9.44,9.41,9.65,6.25,5.67,4.87,3.89,4.1
Operating Margin,1.01,2.17,3.29,2.38,2.56,1.78,-0.44,-3.87,-2.62,0.22,0.85
Net Int Inc & Other,1.42,1.1,-0.34,-0.21,0.03,-0.08,-0.21,-0.32,-0.24,-0.1,-0.36
EBT Margin,2.43,3.27,2.96,2.18,2.59,1.7,-0.65,-4.19,-2.86,0.12,0.49
