Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,26.0,39.0,61.0,56.0,56.0
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,,,,,,4.0,12.0,29.0,19.0,19.0
Operating Margin %,,,,,,,14.5,31.4,47.9,32.9,32.9
Net Income AUD Mil,,,,,,,1.0,7.0,9.0,11.0,11.0
Earnings Per Share AUD,,,,,,,0.08,0.16,0.2,0.2,0.2
Dividends AUD,,,,,,,,0.07,0.15,0.15,0.15
Payout Ratio % *,,,,,,,,,42.3,74.0,73.0
Shares Mil,,,,,,46.0,13.0,46.0,47.0,53.0,53.0
Book Value Per Share * AUD,,,,,,,1.02,1.05,1.08,1.1,1.48
Operating Cash Flow AUD Mil,,,,,,,23.0,28.0,25.0,27.0,27.0
Cap Spending AUD Mil,,,,,,,-1.0,-4.0,-1.0,-0.0,-0.0
Free Cash Flow AUD Mil,,,,,,,22.0,24.0,24.0,27.0,27.0
Free Cash Flow Per Share * AUD,,,,,,,,1.64,0.53,0.51,
Working Capital AUD Mil,,,,,,32.0,17.0,19.0,45.0,59.0,
