Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,123.9,,,-10.15,-12.03,9.55,126.82,-1.24,31.71,
3-Year Average,59.72,283.97,,27.62,-5.87,,-4.69,29.78,34.88,43.42,
5-Year Average,,,,120.86,,10.44,-4.27,,14.17,23.24,
10-Year Average,,,,,,,,32.46,58.79,,
