Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,5.44,7.63,7.33,8.05,8.19,8.6,10.73,6.52,20.41,17.65,8.7
3-Year Average,26.55,21.41,6.79,7.67,7.86,8.28,9.17,8.6,12.41,14.7,
5-Year Average,24.7,23.01,18.55,15.72,7.32,7.96,8.57,8.41,10.78,12.66,
10-Year Average,20.39,16.68,16.11,16.12,15.82,16.03,15.57,13.36,13.23,9.96,
