Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,22.8,13.86,19.67,-3.49,10.09,1.25,-8.56,0.03,-21.59,37.58,-13.45
3-Year Average,7.73,10.89,18.72,9.56,8.34,2.47,0.64,-2.53,-10.49,2.57,
5-Year Average,5.68,6.88,11.24,9.51,12.2,7.95,3.32,-0.32,-4.38,-0.02,
10-Year Average,6.92,7.36,8.23,7.32,7.51,6.81,5.08,5.3,2.33,5.91,
