Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,34.96,37.21,,31.78,33.49,31.88,30.44
Net Margin %,,,,,10.06,13.14,-73.05,17.37,17.27,19.62,22.45
Asset Turnover (Average),,,,,,0.04,0.04,0.03,0.04,0.04,0.04
Return on Assets %,,,,,,0.51,-2.75,0.68,0.61,0.72,0.84
Financial Leverage (Average),,,,,,5.27,6.36,6.9,7.12,7.67,7.62
Return on Equity %,,,,,,2.66,-15.82,4.5,4.31,5.3,6.3
Return on Invested Capital %,,,,,,,,,,,
Interest Coverage,,,,,,,,,,,
