Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,-29.75,-103.69,-37.55,-42.19,-25.59,-107.67,,,-421.7,,
Asset Turnover (Average),0.94,0.4,0.45,0.53,0.51,0.17,0.08,0.05,0.03,,
Return on Assets %,-27.9,-41.4,-17.01,-22.36,-13.16,-18.54,-189.79,97.58,-10.88,-13.94,-13.94
Financial Leverage (Average),,4.64,6.27,27.86,,3.22,,,,2.66,2.66
Return on Equity %,,-253.84,-91.46,-229.45,,-254.0,,,,-91.82,-91.82
Return on Invested Capital %,-29.98,-57.78,-21.53,-24.14,,-28.4,,,,-21.59,-21.59
Interest Coverage,-4.7,-8.04,-3.34,-1.77,-2.89,-7.46,-73.56,0.68,-1.55,-2.24,-2.24
