Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,,,,,123.19,67.63,35.16,15.34,28.1,39.9,
3-Year Average,,,,,,,71.65,37.74,25.93,27.38,
5-Year Average,,,,9.77,14.37,,,,49.51,36.18,
10-Year Average,,,,,,,71.62,29.57,28.11,24.8,
