Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,-40.88,1156.65,23.95,-0.82,-39.24,-18.82,-94.75,
3-Year Average,,,,,,109.61,149.05,-9.27,-21.21,-70.41,
5-Year Average,,,,,,,,40.88,50.1,-49.81,
10-Year Average,,,,,,,,,,,
