Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,5.46,-43.92,9.98,39.0,11.42,7.61,-0.14,-1.91,-16.67,-41.0,
3-Year Average,22.03,-10.07,-13.36,-5.0,19.42,18.56,6.19,1.77,-6.54,-21.58,
5-Year Average,51.29,10.55,2.31,2.14,0.15,0.55,12.85,10.3,-0.43,-12.32,
10-Year Average,14.4,6.85,8.09,19.65,18.54,23.34,11.7,6.23,0.85,-6.29,
