Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,,,,,,,,,,,
Gross Margin,,,,,,,,,,,
SG&A,33.71,40.64,31.16,43.92,42.82,44.37,47.91,46.66,49.82,43.83,41.94
R&D,,,,,,,,,,,
Other,30.01,27.58,30.71,35.34,30.75,29.8,36.39,29.26,26.45,22.7,22.18
Operating Margin,30.07,1.81,-36.53,-18.6,23.12,25.17,19.98,28.6,21.8,29.58,34.6
Net Int Inc & Other,-6.21,-29.98,-74.66,-39.33,-3.31,-0.66,4.28,4.51,-1.93,-3.89,-1.28
EBT Margin,30.07,1.81,-36.53,-18.6,23.12,25.17,19.98,28.6,21.8,29.58,34.6
