Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,2143.31,,23458.3,,,8780.74,60.25,9.45,3.86,4.08,4.08
Days Inventory,,,,,,,356.14,65.61,66.67,71.17,71.17
Payables Period,82434.68,,,,,,163.04,32.4,41.79,63.67,63.67
Cash Conversion Cycle,,,,,,,253.35,42.67,28.74,11.58,11.58
Receivables Turnover,0.17,,0.02,,,0.04,6.05,38.62,94.61,89.43,89.43
Inventory Turnover,,,,,,,1.02,5.56,5.47,5.13,5.13
Fixed Assets Turnover,,,,,,,0.15,0.66,0.66,0.74,0.74
Asset Turnover,,,,,,,0.12,0.52,0.53,0.55,0.55
