Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-0.25,31.66,2.95,11.81,24.62,8.26,-3.45,27.43,-12.44,
Free Cash Flow Growth % YOY,,0.78,32.43,3.37,6.22,24.68,-8.36,-5.07,33.54,-14.85,
Cap Ex as a % of Sales,4.11,3.43,3.77,3.39,5.02,5.28,9.15,10.26,9.44,7.84,8.25
Free Cash Flow/Sales %,26.87,24.31,28.01,26.12,26.51,27.98,22.62,23.94,25.99,19.53,23.17
Free Cash Flow/Net Income,1.43,1.37,2.27,1.23,1.12,1.2,1.04,0.86,0.9,0.66,1.05
