Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,130.4,1479.17,-74.82,,
Free Cash Flow Growth % YOY,,,,,,,152.68,1469.96,-75.38,,
Cap Ex as a % of Sales,,,,,,0.64,0.13,0.52,0.23,1.19,0.97
Free Cash Flow/Sales %,,,,,,5.54,7.09,22.04,4.96,-50.79,-92.01
Free Cash Flow/Net Income,,,,,,0.62,3.18,1.32,-0.16,0.91,0.93
