Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,53.97,-10.31,3.83,8.86,15.42,3.52,-1.76,-1.04,-13.01,
3-Year Average,,20.58,16.52,12.76,0.46,9.27,9.16,5.49,0.21,-5.43,
5-Year Average,,15.11,10.84,10.3,12.32,12.49,3.91,5.82,4.81,0.21,
10-Year Average,,,,,6.65,7.01,9.37,8.3,7.52,6.09,
