Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,12.93,2.52,-20.72,4.38,15.09,4.8,-0.72,11.39,-0.91,5.0,
3-Year Average,10.48,8.15,-2.82,-5.34,-1.62,7.98,6.19,5.04,3.1,5.04,
5-Year Average,8.68,8.16,1.85,0.92,1.97,0.46,-0.18,6.84,5.74,3.81,
10-Year Average,15.94,13.37,8.13,5.2,6.59,4.49,3.9,4.32,3.3,2.89,
