Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,-24.69,86.6,74.65,0.73,2.54,39.02,22.0,4.89,4.06,
Free Cash Flow Growth % YOY,,-43.96,163.55,66.48,-10.25,-4.62,74.51,21.76,-9.0,-4.05,
Cap Ex as a % of Sales,2.61,4.72,2.3,4.66,6.34,6.84,2.94,3.16,6.32,6.54,10.43
Free Cash Flow/Sales %,15.95,8.36,21.44,28.8,20.86,17.04,25.23,26.63,21.83,16.4,16.12
Free Cash Flow/Net Income,1.27,0.32,-2.14,1.5,1.5,1.63,2.59,1.39,1.28,0.93,0.81
