Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,174.79,7.11,-65.52,6.46,50.31,22.81,32.51,48.71
3-Year Average,,,,,,0.49,-26.74,-17.98,25.26,34.74,
5-Year Average,,,,,,,,10.19,-6.21,-2.13,
10-Year Average,,,,,,,,,,,
