Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,45.0,-14.77,68.89,82.49,-64.04,94.69,6.23,0.69,82.52,-50.74,
Free Cash Flow Growth % YOY,,,,,-66.76,159.39,7.63,-23.02,124.98,-58.39,
Cap Ex as a % of Sales,32.78,100.83,46.44,9.28,4.02,2.8,2.6,6.96,5.64,5.17,10.95
Free Cash Flow/Sales %,-12.86,-81.68,-16.47,21.4,7.29,17.11,17.46,13.84,25.73,11.66,10.08
Free Cash Flow/Net Income,-1.05,-44.25,4.15,1.7,1.55,1.74,1.76,2.01,1.44,0.91,0.73
