Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,36.16,24.8,56.46,13.73,14.45,33.99,21.42,3.46,46.18,-24.72,
Free Cash Flow Growth % YOY,9.26,60.82,128.85,-2.78,1.34,42.8,38.66,8.49,49.15,-29.75,
Cap Ex as a % of Sales,8.54,6.02,2.34,4.04,4.71,4.55,2.96,2.07,2.2,2.22,2.01
Free Cash Flow/Sales %,7.58,9.24,18.17,12.61,9.59,11.41,13.14,12.28,15.15,9.79,12.88
Free Cash Flow/Net Income,0.46,0.6,1.11,0.79,0.66,0.8,0.95,0.88,1.16,0.85,0.96
